date,AA,AAN,AAP,AB,ABB,ABC,ABG,ABM,ABR,ABT,ACC,ACM,ACN,ADC,ADI,ADM,ADP,ADS,ADX,AEE,AEG,AEL,AEM,AEO,AEP,AER,AES,AFB,AFG,AFL,AGCO,AGD,AGM,AGO,AGX,AHT,AIG,AIN,AIR,AIT,AIV,AIZ,AJG,AKR,ALB,ALE,ALEX,ALG,ALK
2010-01-19,15.62,29.02,39.5,29.58,19.83,27.37,13.16,20.71,2.42,56.2,27.82,28.99,43.75,23.74,29.47,30.54,42.91,67.25,10.39,27.69,6.9,8.05,58.01,17.11,36.44,10.53,14.13,13.64,25.47,52.1,34.54,10.26,7.07,24.18,14.24,6.16,28.25,21.36,24.48,24.3,16.94,30.83,22.25,17.75,38.37,32.39,34.53,17.9,37.17
2010-01-20,15.23,28.48,39.16,29.66,19.08,27.14,12.94,20.2,2.44,56.24,27.76,28.71,43.51,23.58,28.93,30.9,42.34,67.13,10.3,27.17,6.56,7.99,55.69,16.76,36.52,10.24,13.71,13.8001,25.24,51.15,33.65,10.19,7.12,24.01,14.2,6.05,27.96,20.3,24.1,23.18,16.65,30.3,22.14,17.41,37.96,31.67,34.48,17.74,37.0
2010-01-21,14.25,28.2,39.23,28.76,18.66,26.58,12.6,19.61,2.39,55.56,27.05,28.41,43.09,23.25,29.06,30.44,42.15,63.83,10.12,26.52,6.07,7.97,53.08,16.51,36.11,9.79,13.37,13.91,25.25,50.47,32.95,10.02,7.14,23.6,13.71,5.99,27.55,19.55,23.53,23.89,15.8,31.3,22.31,16.89,37.12,31.05,33.98,17.95,37.23
2010-01-22,13.4,28.03,39.74,27.87,17.99,26.66,11.72,19.51,2.23,54.51,26.23,28.08,42.18,22.95,27.76,30.47,41.17,61.32,9.89,25.78,6.01,7.61,53.73,16.12,35.42,9.51,13.02,13.91,24.63,49.1,31.68,9.95,6.89,22.57,13.8,5.93,26.5,19.86,23.66,23.23,15.33,31.83,22.7,16.47,36.09,30.73,32.62,18.01,36.05
2010-01-25,13.39,28.4,40.5,27.73,18.47,27.11,12.0,19.52,2.25,54.7,25.96,28.24,41.88,23.06,28.01,29.77,41.27,60.25,9.95,25.91,6.14,7.71,53.04,16.25,35.62,9.44,13.41,13.96,24.9,50.18,32.07,9.88,7.17,22.78,13.95,5.97,26.09,20.48,23.45,23.08,15.54,32.12,22.82,16.24,36.5,30.5,32.84,18.0,36.51
2010-01-26,13.54,27.95,40.55,27.0,18.51,27.44,11.94,19.41,2.1701,54.48,25.78,28.17,41.83,21.55,27.6,29.63,41.06,60.42,9.9,25.98,6.07,7.5,53.08,16.02,35.61,9.36,13.07,13.89,24.69,49.72,32.61,9.93,7.43,22.4,13.95,5.54,24.4,20.03,23.33,22.64,15.42,31.49,22.66,15.97,37.37,30.6,32.55,17.94,35.48
2010-01-27,13.3,28.02,40.59,27.21,18.88,27.26,11.78,19.66,2.05,53.9,26.08,27.98,41.93,20.09,27.7,29.75,41.02,60.56,9.91,25.99,6.17,7.63,52.72,16.06,35.53,9.367,12.88,13.99,25.02,49.81,32.38,9.66,7.32,23.02,13.99,5.66,24.91,20.24,23.27,22.5,15.56,31.85,22.48,16.28,36.86,30.74,33.02,18.44,36.5
2010-01-28,12.92,27.88,39.77,27.01,18.19,27.28,11.24,19.51,2.01,53.95,25.75,27.39,41.29,19.56,27.15,29.95,40.68,59.95,9.8,25.73,6.02,7.58,52.64,15.97,35.06,9.29,12.68,13.96,24.97,49.19,31.33,9.52,7.71,22.9,13.95,5.51,24.16,20.02,23.42,21.98,15.48,31.58,22.6,16.06,36.44,31.29,32.21,17.91,32.59
2010-01-29,12.73,27.86,39.45,25.74,18.03,27.26,11.07,19.42,2.0,52.94,25.66,26.97,40.99,19.59,26.96,29.97,40.79,59.46,9.73,25.55,5.92,7.34,50.67,15.89,34.65,8.75,12.63,13.97,24.81,48.43,30.91,9.51,7.56,22.66,14.2,5.27,24.23,19.89,23.17,21.8,15.36,31.43,22.55,15.93,35.72,31.3,31.95,17.95,31.34
2010-02-01,13.36,27.93,40.49,26.5,18.48,27.75,11.78,19.6,2.01,53.34,25.86,26.83,41.19,20.33,27.52,30.16,41.07,61.02,9.85,25.49,6.23,7.34,53.74,16.18,34.6,8.55,12.89,13.95,25.11,49.18,31.93,9.58,7.41,22.88,14.5,5.58,23.96,19.73,23.23,21.74,15.74,31.67,22.78,16.36,36.25,31.5,32.41,18.01,31.97
2010-02-02,13.67,29.38,41.19,27.15,18.95,28.55,12.1,19.51,2.14,54.44,26.4,27.2,41.62,21.3,27.78,31.63,41.18,61.46,9.99,25.77,6.46,7.31,54.13,16.7,35.06,8.66,13.12,13.99,25.34,49.7,31.95,9.92,7.39,22.97,14.76,5.61,23.97,19.92,23.74,21.92,16.26,32.11,22.7,16.37,36.9,31.53,33.31,17.99,33.25
2010-02-03,13.49,28.73,41.19,27.12,18.66,28.32,11.91,19.55,2.31,54.65,26.4,26.95,41.6,20.2,27.65,31.18,40.8,54.7,9.93,25.61,6.37,7.39,53.72,16.43,34.7,8.54,12.9,13.92,25.13,50.94,31.78,9.96,7.32,22.55,14.85,5.45,23.79,19.95,23.72,21.87,15.93,31.66,23.74,15.88,36.63,31.45,33.0,18.01,33.26
2010-02-04,12.91,28.13,40.93,25.85,17.93,27.42,11.42,19.37,2.14,53.82,25.37,25.92,40.61,19.65,26.5,30.06,40.38,53.05,9.61,24.98,5.91,7.17,50.43,15.81,33.75,8.23,11.84,13.75,24.42,48.3,30.22,9.56,7.1,20.43,14.68,5.18,22.59,18.32,22.45,21.59,15.26,31.73,23.56,15.48,35.39,30.84,31.86,17.79,32.0
2010-02-05,13.18,28.52,40.72,25.73,17.57,27.01,11.34,19.65,2.17,53.97,25.83,25.45,40.54,20.13,26.9,30.61,40.28,55.3,9.58,24.86,5.72,7.21,54.22,15.73,33.64,7.9,11.73,13.68,24.33,47.65,30.44,9.01,6.98,20.65,15.22,5.1,22.41,18.49,22.26,21.81,15.69,30.92,23.1,15.5,35.16,30.88,32.12,17.96,32.16
2010-02-08,13.06,28.77,40.81,25.12,17.3,26.95,10.96,19.25,2.17,53.35,25.31,25.8,40.17,19.87,26.8,29.89,40.4,55.83,9.48,24.42,5.51,6.9,52.29,15.74,32.82,7.84,11.75,13.65,24.3,45.95,30.44,9.05,7.05,20.0,15.3,5.11,22.16,18.52,22.06,21.31,15.21,30.16,22.77,15.26,34.86,30.76,31.74,17.52,32.39
2010-02-09,13.28,29.26,41.57,25.07,17.97,27.16,11.0,19.36,2.25,53.35,24.84,27.47,40.24,19.88,27.12,29.91,40.7,54.99,9.56,24.63,5.94,7.01,54.61,16.06,33.2,7.76,12.13,13.65,24.58,47.06,31.81,9.21,7.3,20.2,15.45,5.22,23.14,21.17,22.39,21.67,15.48,30.37,22.86,15.24,35.32,30.82,31.77,17.75,33.37
2010-02-10,13.16,29.14,42.33,25.3,17.67,27.19,10.91,19.34,2.21,53.26,24.87,27.31,40.02,20.04,27.05,29.99,40.68,54.18,9.53,24.41,6.0,6.95,55.39,16.02,33.02,7.68,11.94,13.73,24.82,47.11,31.72,9.3399,7.51,20.1,15.49,5.4,26.92,20.3,23.43,21.51,15.44,30.13,22.88,15.37,35.38,30.8,31.75,17.88,31.76
2010-02-11,13.58,29.88,42.55,25.5,18.19,27.52,10.99,19.61,2.3,53.54,25.53,27.31,40.27,20.52,27.67,30.03,40.9,54.61,9.64,24.63,5.99,7.01,57.98,15.98,33.08,7.82,11.95,13.69,25.0,47.36,33.46,9.36,7.55,20.0,16.1,5.55,26.3,20.05,22.67,21.59,15.53,29.76,22.94,15.71,35.87,31.27,32.1,17.9,32.33
2010-02-12,13.28,30.22,42.81,26.53,17.87,27.35,11.24,19.79,2.3,53.93,25.97,27.43,40.49,21.0,27.99,29.77,40.59,53.86,9.62,24.56,5.92,7.1,58.13,15.93,32.95,7.93,11.77,13.64,25.12,47.14,33.79,9.37,7.44,20.12,15.95,5.5,26.82,20.27,22.54,21.5,15.87,29.86,22.98,15.71,36.6,31.62,31.93,18.57,32.75
2010-02-16,13.74,30.48,42.63,27.15,18.31,27.57,11.41,19.88,2.33,54.59,26.62,27.37,40.84,21.14,28.6,29.48,41.3,54.18,9.8,25.09,6.07,7.13,59.78,16.2,33.7,8.3,11.85,13.73,25.51,48.25,34.49,9.5951,7.89,20.91,15.93,5.72,27.43,20.26,23.05,22.0,16.64,30.81,23.04,16.08,37.71,32.46,32.08,18.5,34.01
2010-02-17,13.6,29.88,42.88,27.28,18.51,27.59,11.58,19.92,2.42,54.75,27.05,27.54,40.79,22.27,28.38,29.88,41.46,53.99,9.86,25.4,6.08,7.42,59.08,16.2,33.55,8.5,12.03,13.65,25.47,48.74,34.84,9.71,7.89,20.95,16.0,5.95,26.9,20.31,23.1,22.04,16.71,30.71,23.27,16.32,37.77,32.56,32.46,18.27,34.25
2010-02-18,13.61,29.99,40.15,26.11,19.91,27.86,11.7,20.37,2.47,54.97,27.64,27.62,41.31,21.9,29.57,29.97,41.19,55.33,9.97,25.64,6.15,7.57,60.28,16.7,33.52,8.41,12.03,13.67,25.51,48.85,34.59,9.57,7.66,21.24,16.0,5.99,26.71,20.64,23.45,22.33,16.89,30.65,23.34,16.49,37.87,32.41,32.19,18.4,35.56
2010-02-19,13.53,30.12,40.0,26.7,19.78,28.14,11.7,20.65,2.43,54.38,27.62,27.66,40.87,21.93,29.75,29.95,41.56,56.88,9.99,25.65,6.05,7.72,58.35,16.85,33.97,8.27,12.18,13.7,25.65,49.04,34.75,9.75,7.68,20.42,16.0,5.99,26.53,20.26,23.59,22.74,16.65,30.91,23.54,16.6,38.13,32.64,32.64,18.26,36.49
2010-02-22,13.54,29.95,40.24,26.83,20.05,27.89,11.56,20.75,2.48,54.4,27.88,27.2,40.7,21.93,29.89,29.81,41.6,57.15,9.97,25.41,6.03,7.84,58.03,16.62,33.65,8.21,12.0,13.43,25.97,49.12,34.71,9.83,7.97,20.22,15.62,6.01,28.43,20.5,23.5,22.69,16.63,30.81,23.61,16.66,38.14,32.31,33.09,18.05,35.53
2010-02-23,13.18,29.88,40.22,25.99,19.68,27.75,11.47,20.56,2.41,53.97,27.82,26.82,40.26,21.51,29.15,29.62,41.2,55.98,9.93,25.29,5.83,7.77,55.57,16.43,33.72,8.04,11.77,13.4895,25.77,48.13,33.71,9.79,7.81,19.77,15.51,5.84,26.76,19.69,22.8,22.57,16.57,30.43,23.72,16.59,36.97,31.86,32.32,18.06,34.92
2010-02-24,13.06,29.8,40.46,26.73,19.91,27.89,11.59,20.75,2.4,54.33,27.82,27.07,40.28,21.71,29.49,29.57,42.24,56.39,9.98,25.14,5.92,7.91,55.62,16.9,33.91,8.76,11.8,13.64,25.8,49.07,33.42,9.75,8.13,19.79,15.49,5.71,27.99,19.59,22.98,22.82,16.73,30.95,23.87,16.81,36.88,32.19,32.26,18.05,34.95
2010-02-25,13.31,29.95,40.73,26.69,20.15,28.08,11.71,20.76,2.47,54.12,27.74,27.28,39.75,21.8,29.63,29.47,41.71,56.08,9.92,25.07,6.07,8.55,57.24,17.04,33.68,8.84,11.7,13.81,25.92,49.19,33.62,9.79,8.32,20.49,15.48,5.61,27.51,19.53,22.78,22.59,16.84,30.56,23.77,16.9,36.91,31.96,32.22,18.02,34.62
2010-02-26,13.3,29.67,40.8,27.05,20.26,28.04,11.63,20.48,2.28,54.28,27.64,27.1,39.97,22.06,29.24,29.36,41.61,55.44,9.95,24.71,6.3,8.8,57.57,16.87,33.62,9.51,11.69,13.88,25.87,49.45,34.25,9.63,8.74,21.1,15.59,5.48,24.77,19.32,22.68,22.54,16.69,30.52,23.73,16.73,37.49,31.45,32.18,17.81,35.0
2010-03-01,13.31,29.91,41.3,27.45,20.48,28.07,12.03,21.16,2.3,54.29,27.89,27.29,40.09,22.73,29.82,29.66,41.97,56.2,10.0699,25.04,6.35,9.24,58.77,17.55,33.94,9.87,11.17,13.95,26.4,50.02,34.78,9.69,9.13,20.33,15.54,5.51,25.78,20.1,22.87,23.16,16.75,30.65,24.02,16.88,39.44,32.4,32.33,18.19,37.17
2010-03-02,13.24,29.85,41.34,28.1,20.57,28.46,11.96,19.7,2.35,54.58,27.98,27.2,40.6,21.9,29.62,29.85,41.85,57.1,10.09,25.33,6.48,9.38,60.12,17.45,34.12,9.95,11.24,14.02,26.83,49.94,34.72,9.92,9.1,20.58,15.52,5.51,25.03,20.55,23.38,23.47,16.97,30.73,24.13,17.11,40.33,32.74,32.31,18.04,36.26
2010-03-03,13.34,30.02,41.49,27.68,20.69,28.0,12.36,19.67,2.46,54.08,27.71,28.04,40.64,21.27,29.19,29.78,41.91,58.49,10.11,25.43,6.44,9.3,60.81,17.46,33.97,9.71,11.52,13.9,26.75,50.17,35.42,9.8601,9.21,20.33,15.54,5.43,24.88,20.39,23.9,23.5,16.9,30.77,24.29,16.97,40.35,33.03,32.65,18.01,36.62
2010-03-04,13.43,30.41,41.78,27.71,20.76,27.99,12.52,19.75,2.45,54.08,27.72,28.15,40.91,21.64,29.07,30.0,41.71,59.15,10.13,25.59,6.38,9.6,60.0,16.73,33.91,9.67,11.32,13.92,26.99,50.57,34.92,9.8,9.21,20.0,15.59,5.42,26.71,20.47,24.24,23.36,16.94,30.97,24.17,17.04,40.29,33.27,32.87,17.98,36.23
2010-03-05,13.84,31.16,42.29,27.72,21.11,28.41,12.9,20.02,2.54,54.32,28.42,28.67,41.18,22.31,29.5,30.62,43.18,60.36,10.29,25.94,6.66,9.6,60.8,16.74,34.25,9.96,11.58,13.89,26.99,51.51,35.27,9.92,9.34,20.5,15.56,5.65,28.08,21.31,24.79,23.96,17.6,31.68,24.43,17.42,41.17,33.64,33.36,17.91,37.15
2010-03-08,13.78,31.06,42.1,27.67,21.22,28.07,12.97,19.93,2.84,54.42,28.65,28.33,41.46,22.67,29.52,30.57,43.15,60.2,10.33,25.5,6.54,9.84,60.07,16.8,34.18,10.1,11.49,13.906,27.33,51.7,35.17,9.96,9.18,20.8,15.57,5.7,29.1,21.93,24.64,24.06,17.91,32.22,24.39,17.7,41.25,33.73,33.98,18.1,36.1
2010-03-09,13.67,31.13,41.94,28.3,21.0,27.99,13.11,19.89,2.83,54.8,28.35,28.25,42.06,22.61,29.25,30.51,43.67,60.88,10.34,25.57,6.54,9.85,59.12,17.15,34.12,10.38,11.4,13.81,27.25,51.25,35.57,9.97,9.2101,20.98,15.49,5.62,32.77,23.27,25.1,24.23,17.89,32.34,24.43,17.63,41.0,33.32,34.16,17.99,37.96
2010-03-10,13.57,31.45,42.13,28.8,21.05,28.05,13.45,19.93,2.96,55.03,28.17,28.36,42.06,22.4,30.08,30.24,43.88,61.71,10.3905,25.57,6.65,10.19,58.12,18.2,34.15,10.77,11.26,13.84,27.14,52.47,35.56,10.01,9.17,22.66,15.53,5.7,36.24,23.12,25.45,24.44,17.94,32.61,24.64,17.59,41.33,33.4,34.44,18.0,40.1
2010-03-11,13.64,31.79,42.38,29.33,20.88,28.08,13.36,19.95,2.86,55.54,27.35,28.29,42.0,22.3,29.17,29.44,43.93,62.7,10.43,25.76,6.71,10.28,59.29,18.71,34.22,11.03,11.6,13.81,27.29,52.63,34.2,10.16,9.29,22.72,15.45,5.8,35.11,22.63,25.56,24.34,17.77,32.98,24.73,17.62,41.4,33.58,34.59,17.99,40.38
2010-03-12,13.6,31.87,42.18,29.4,21.15,27.93,13.29,19.98,2.97,54.52,27.5,28.33,42.12,22.46,28.98,28.66,43.81,62.75,10.48,25.51,6.73,10.27,58.34,18.74,34.1,11.17,11.66,13.75,27.34,52.69,34.73,10.2295,9.41,22.32,15.3,5.91,34.23,22.01,25.45,24.3,17.75,32.9,25.21,17.63,41.94,33.32,34.72,17.7,40.56
2010-03-15,13.51,31.89,42.08,29.35,20.94,27.75,13.47,19.9,2.96,54.8,27.4,28.13,42.5,22.49,28.92,28.61,44.24,64.1,10.49,25.49,6.6,10.24,57.99,19.0,34.39,11.01,11.57,13.754,27.43,52.77,34.59,10.38,9.53,21.63,14.95,5.87,34.32,22.17,25.44,24.31,17.75,32.62,25.32,17.55,42.2,33.42,34.29,17.54,40.79
2010-03-16,13.8,32.6,42.3,29.25,21.36,28.36,13.98,19.71,3.01,54.68,27.55,28.38,42.0,22.64,30.01,28.59,44.25,65.68,10.5101,25.5,6.67,10.47,59.79,19.02,34.77,11.2,11.88,13.87,27.46,53.7,34.9,10.46,9.8,21.43,15.06,5.94,33.61,21.98,25.64,24.48,17.92,33.14,25.49,17.9,42.6,33.6,34.37,17.89,40.32
2010-03-17,14.46,32.9,42.35,29.84,21.56,28.2,14.05,20.09,3.0001,54.5,27.64,28.79,42.24,22.9,30.43,29.1,44.69,66.19,10.62,25.67,6.76,10.69,59.99,19.0,34.82,11.14,11.76,13.8405,27.95,54.64,35.42,10.69,8.97,21.91,14.46,6.06,34.41,22.24,24.93,24.75,18.35,33.5,25.64,18.19,42.83,33.66,34.24,18.34,41.02
2010-03-18,14.3,32.9,42.5,29.49,21.59,28.57,13.86,20.21,3.04,53.77,27.62,28.57,42.28,23.18,30.16,29.24,44.72,65.15,10.65,26.0,6.61,10.68,59.21,19.08,34.76,11.11,11.56,13.78,28.63,54.82,34.91,10.69,8.66,21.37,14.52,6.2,34.64,22.2,24.71,24.69,18.25,33.3,25.73,18.17,42.85,33.42,34.43,19.05,40.41
2010-03-19,14.26,32.35,43.26,28.76,21.12,28.68,14.04,20.26,2.61,53.46,27.54,29.35,42.06,23.33,29.75,29.09,44.6,64.07,10.52,26.04,6.5,10.84,57.65,18.88,34.52,11.06,11.46,14.05,27.93,54.1,34.55,10.56,8.4,20.31,14.33,6.11,34.8,22.11,23.73,24.2,17.95,33.2,25.58,17.98,42.24,33.58,33.2,18.6,40.17
2010-03-22,14.34,33.01,43.64,29.1,21.35,29.29,14.02,20.66,2.69,53.87,27.86,29.51,42.43,23.46,30.07,29.33,44.83,64.28,10.55,25.82,6.55,10.76,57.49,19.19,34.08,10.98,11.27,14.1,28.05,53.86,34.8,10.75,8.77,20.24,14.07,6.2,33.39,22.04,24.04,24.6,18.11,33.35,24.97,18.09,43.05,33.54,33.15,18.8,41.29
2010-03-23,14.5,33.22,43.96,30.03,21.79,29.21,14.24,20.91,2.8899,54.34,27.69,29.78,42.4,23.99,30.43,29.32,44.91,64.58,10.61,25.88,6.74,10.43,57.97,19.33,34.3,10.97,11.23,14.11,28.42,53.5,35.82,10.5,9.2,21.09,14.16,6.39,33.28,22.56,24.5,25.05,18.27,33.17,25.21,17.94,43.2,33.74,33.65,19.5,41.87
2010-03-24,14.32,33.19,43.39,30.05,21.38,28.72,13.92,20.82,3.16,53.87,27.47,29.53,41.79,24.36,29.06,28.5,44.34,64.3,10.52,25.5,6.59,10.58,55.32,18.98,33.99,10.83,11.02,14.0,28.43,53.65,35.77,10.38,9.45,22.34,13.96,6.91,33.17,22.25,24.19,24.63,18.5,33.48,25.06,17.86,42.51,33.32,32.73,19.84,41.07
2010-03-25,14.11,33.06,43.02,30.23,21.36,28.6,13.91,20.86,3.27,53.52,27.44,29.45,41.52,24.42,28.94,28.26,43.98,64.58,10.51,25.29,6.61,10.32,54.23,19.34,33.9,11.22,10.76,13.94,27.99,53.21,35.92,10.44,10.24,21.44,13.62,6.82,34.51,22.4,23.81,24.75,18.77,33.67,25.17,18.12,41.83,33.16,32.09,19.8,41.12
2010-03-26,14.27,33.19,42.48,30.25,21.49,28.59,13.96,20.92,3.3101,52.9,27.18,29.39,42.4,24.67,28.49,28.42,44.24,64.12,10.56,25.63,6.78,10.38,55.57,19.26,34.09,11.05,10.86,13.91,28.46,53.47,35.95,10.4499,10.98,21.81,13.47,6.5,34.21,22.35,25.0,24.74,18.66,33.97,25.09,18.21,41.47,33.12,32.0,19.99,41.33
2010-03-29,14.44,32.81,42.19,30.51,21.49,28.84,13.68,20.75,3.27,53.12,27.57,29.09,42.3,23.46,28.82,29.03,44.54,64.39,10.59,25.93,6.86,10.6,56.11,18.78,34.37,11.15,11.24,13.93,28.54,53.65,36.22,10.37,10.78,22.09,14.07,7.01,34.45,22.05,24.86,24.76,18.38,34.37,24.95,17.91,42.15,33.58,32.43,20.11,41.14
2010-03-30,14.4,33.55,42.23,30.55,21.64,29.28,13.63,20.96,3.26,52.51,27.93,28.67,42.21,23.49,29.01,28.93,44.59,64.0,10.57,26.09,6.78,10.72,54.94,18.82,34.42,11.54,11.07,13.89,28.51,53.79,36.65,10.46,10.85,21.59,14.05,7.18,34.19,22.07,25.09,25.0,18.48,34.34,24.91,18.09,42.53,33.73,32.98,20.04,41.12
2010-03-31,14.24,33.34,41.92,30.66,21.84,28.92,13.3,21.2,3.24,52.68,27.66,28.37,41.95,22.86,28.82,28.9,44.47,63.99,10.5405,26.08,6.81,10.65,55.67,18.52,34.18,11.52,11.0,13.93,28.45,54.29,35.87,10.46,11.33,21.97,13.0,7.17,34.14,21.53,24.82,24.85,18.41,34.38,24.55,17.86,42.63,33.48,33.05,19.99,41.23
2010-04-01,14.7,33.8,42.36,31.68,22.14,28.59,13.61,20.98,3.45,52.96,27.51,29.26,41.84,23.43,28.82,29.11,44.18,64.29,10.61,26.45,6.97,10.76,57.57,18.46,34.49,12.2,11.3,13.83,28.46,54.74,36.21,10.75,12.2,22.75,13.25,7.2,34.11,21.69,24.88,25.25,18.6,34.89,24.5,17.96,42.87,33.77,32.75,20.0,40.89
2010-04-05,14.73,33.77,42.67,32.75,22.06,28.92,13.83,20.99,3.7,52.93,28.05,29.29,41.96,23.83,29.45,28.46,44.39,64.99,10.72,26.48,7.0,10.79,58.37,18.98,34.31,13.06,11.6,13.89,29.0,55.52,37.25,11.01,13.48,22.85,13.54,7.44,35.06,22.4,25.36,25.4,19.43,35.63,24.6,18.34,43.16,34.54,32.9,20.23,41.1
2010-04-06,15.03,33.96,42.56,32.55,22.31,29.03,13.76,20.86,3.92,52.84,29.44,29.23,41.52,24.54,29.29,28.23,44.29,65.97,10.75,26.65,7.05,10.87,58.23,18.7,34.3,13.0,11.81,14.0,29.31,55.96,37.38,11.11,13.8,22.74,13.64,7.85,35.91,22.3,24.98,25.4,20.17,35.47,24.73,18.49,43.62,34.77,32.91,20.23,40.98
2010-04-07,14.74,33.89,42.1,32.06,22.0,29.04,13.99,20.87,4.0,52.5,28.85,28.69,41.56,24.66,29.46,28.25,43.93,65.75,10.73,26.46,7.02,10.87,59.93,18.64,34.08,13.19,11.4,13.94,29.33,55.28,37.51,11.26,14.9,22.25,13.57,7.9,39.69,22.25,25.12,25.91,19.5,34.9,24.68,18.31,43.61,34.81,32.52,20.47,40.04
2010-04-08,14.87,34.07,42.25,32.02,21.93,29.18,13.6,20.68,4.28,52.28,28.8,28.62,41.9,24.6,28.99,28.06,43.88,64.81,10.73,26.27,7.01,10.8,60.06,17.45,33.96,12.92,11.28,14.0,29.02,55.4,37.68,11.23,15.84,22.57,13.48,7.96,37.59,21.81,24.74,25.78,19.52,34.76,24.58,18.1,43.68,34.83,32.89,20.5,41.78
